gender,NationalITy,Level,SectionID,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,KW,lowerlevel,A,StageIDF,Father,Yes,Good,Under-7,M
M,KW,lowerlevel,A,F,Father,Yes,Good,Under-7,M
M,KW,lowerlevel,A,F,Father,No,Bad,Above-7,L
M,KW,lowerlevel,A,F,Father,No,Bad,Above-7,L
M,KW,lowerlevel,A,F,Father,No,Bad,Above-7,M
F,KW,lowerlevel,A,F,Father,Yes,Bad,Above-7,M
M,KW,MiddleSchool,A,F,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,A,F,Father,Yes,Good,Under-7,M
F,KW,MiddleSchool,A,F,Father,Yes,Good,Under-7,M
F,KW,MiddleSchool,B,F,Father,Yes,Good,Under-7,M
M,KW,MiddleSchool,A,F,Father,Yes,Good,Under-7,H
M,KW,MiddleSchool,B,F,Father,Yes,Good,Under-7,M
M,KW,lowerlevel,A,F,Father,No,Bad,Above-7,L
M,NONKW,MiddleSchool,A,F,Father,No,Bad,Above-7,L
F,KW,MiddleSchool,A,F,Mum,No,Bad,Above-7,H
F,KW,MiddleSchool,A,F,Father,Yes,Good,Under-7,M
M,KW,MiddleSchool,B,F,Father,No,Bad,Above-7,M
M,KW,MiddleSchool,A,F,Father,No,Bad,Above-7,M
F,KW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,M
M,KW,MiddleSchool,B,F,Mum,Yes,Good,Under-7,H
F,KW,MiddleSchool,A,F,Father,No,Bad,Above-7,M
F,KW,MiddleSchool,B,F,Father,No,Bad,Under-7,M
M,KW,MiddleSchool,A,F,Father,No,Bad,Under-7,M
M,KW,MiddleSchool,A,F,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,B,F,Father,Yes,Good,Above-7,L
M,KW,MiddleSchool,A,F,Father,Yes,Good,Above-7,L
M,KW,MiddleSchool,B,F,Father,Yes,Bad,Under-7,M
M,KW,MiddleSchool,A,F,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,A,F,Father,Yes,Good,Under-7,M
F,KW,MiddleSchool,A,F,Father,No,Bad,Under-7,M
F,KW,MiddleSchool,A,F,Father,Yes,Good,Under-7,H
M,KW,MiddleSchool,A,F,Father,Yes,Good,Above-7,L
F,KW,lowerlevel,A,F,Father,Yes,Good,Above-7,L
M,KW,lowerlevel,A,F,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,B,F,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,A,F,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,B,F,Mum,Yes,Good,Above-7,L
F,NONKW,MiddleSchool,A,F,Father,Yes,Good,Under-7,M
M,KW,MiddleSchool,A,F,Father,No,Bad,Above-7,L
F,NONKW,MiddleSchool,B,F,Father,Yes,Good,Under-7,M
F,KW,MiddleSchool,A,F,Father,No,Bad,Above-7,L
M,KW,MiddleSchool,A,F,Father,No,Good,Under-7,M
M,KW,HighSchool,A,F,Father,Yes,Good,Above-7,L
F,KW,HighSchool,A,F,Father,Yes,Good,Under-7,M
F,KW,HighSchool,A,F,Father,No,Bad,Under-7,M
M,KW,MiddleSchool,A,F,Father,No,Good,Above-7,L
M,KW,lowerlevel,A,F,Father,No,Bad,Above-7,L
F,KW,HighSchool,A,F,Mum,Yes,Good,Under-7,H
F,KW,HighSchool,A,F,Mum,Yes,Good,Under-7,H
F,KW,HighSchool,A,F,Father,Yes,Good,Under-7,M
F,KW,HighSchool,A,F,Father,No,Bad,Above-7,L
M,KW,HighSchool,A,F,Father,No,Good,Above-7,L
F,KW,HighSchool,A,F,Father,No,Bad,Under-7,M
F,KW,HighSchool,A,F,Mum,Yes,Good,Under-7,H
M,KW,HighSchool,A,F,Mum,No,Bad,Above-7,L
M,KW,MiddleSchool,A,F,Father,Yes,Good,Above-7,L
M,NONKW,MiddleSchool,B,F,Father,Yes,Good,Above-7,L
M,KW,MiddleSchool,A,F,Father,Yes,Good,Above-7,L
M,KW,MiddleSchool,A,F,Father,Yes,Good,Under-7,M
F,NONKW,MiddleSchool,A,F,Father,No,Good,Under-7,M
F,NONKW,lowerlevel,A,F,Mum,No,Good,Above-7,L
M,KW,HighSchool,A,F,Father,Yes,Good,Under-7,M
M,NONKW,HighSchool,A,F,Mum,Yes,Good,Under-7,H
M,KW,HighSchool,A,F,Father,Yes,Bad,Under-7,M
M,KW,HighSchool,A,F,Father,No,Bad,Above-7,L
M,KW,HighSchool,A,F,Father,No,Bad,Above-7,L
F,KW,HighSchool,A,F,Father,No,Bad,Above-7,M
F,NONKW,HighSchool,A,F,Mum,Yes,Good,Under-7,H
F,NONKW,HighSchool,A,F,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Father,No,Bad,Under-7,M
M,NONKW,MiddleSchool,A,F,Father,Yes,Good,Above-7,L
M,KW,MiddleSchool,A,F,Father,Yes,Good,Under-7,M
M,KW,MiddleSchool,A,F,Father,No,Bad,Under-7,L
F,KW,MiddleSchool,A,F,Father,Yes,Bad,Above-7,M
M,KW,MiddleSchool,B,F,Father,No,Bad,Under-7,L
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,M
M,NONKW,HighSchool,A,F,Mum,Yes,Good,Under-7,M
